,SPY US Equity,IWM US Equity,QQQ US Equity,VGK US Equity,EWJ US Equity,EEM US Equity,EFA US Equity,ACWX US Equity,IYR US Equity,GSG US Equity,GLD US Equity,SHY US Equity,IEF US Equity,TLT US Equity,LQD US Equity,HYG US Equity,AGG US Equity
2015-11-30,208.69,119.1,114.02,51.43,49.52,33.99,60.65,41.07,75.21,15.51,101.92,84.57,106.4,121.45,115.91,83.05,108.81
2015-12-31,203.87,112.62,111.86,49.88,48.48,32.19,58.72,39.61,75.08,14.23,101.46,84.36,105.59,120.58,114.01,80.58,108.01
2016-01-29,193.7208,102.96,104.13,47.11,46.0,30.57,55.48,37.41,72.0,13.48,106.9492,84.91,109.11,127.3,114.15,79.29,109.35
2016-02-29,193.56,102.73,102.5,45.59,43.56,30.32,53.63,36.49,71.46,13.2,118.64,84.96,110.57,130.98,115.01,80.08,110.09
2016-03-31,205.52,110.63,109.2,48.52,45.64,34.25,57.16,39.48,77.86,13.79,117.64,85.03,110.34,130.61,118.82,81.69,110.825
2016-04-29,206.3308,112.48,105.72,49.86,45.68,34.39,58.43,40.48,76.56,15.22,123.65,85.01,110.0,129.38,120.33,83.85,110.89
2016-05-31,209.84,115.0,110.34,49.61,47.16,33.12,58.38,39.99,78.25,15.42,116.06,84.86,109.73,130.16,119.39,83.61,110.7
2016-06-30,209.475,114.98,107.54,46.66,46.0,34.36,55.82,38.96,82.39,15.52,126.47,85.32,112.9523,138.9,122.735,84.7,112.615
2016-07-29,217.12,121.07,115.23,48.28,48.24,36.205,58.035,40.58,85.4,13.96,128.98,85.23,113.07,141.56,123.99,85.41,113.02
2016-08-31,217.38,123.23,116.44,48.61,49.12,36.53,58.35,40.87,82.54,14.24,124.78,84.98,111.77,139.87,123.89,86.7,112.57
2016-09-30,216.3,124.21,118.72,48.73,50.16,37.45,59.13,41.48,80.64,14.82,125.64,85.04,111.88,137.51,123.18,87.26,112.42
2016-10-31,212.55,118.5,116.99,47.01,50.52,37.14,57.82,40.75,76.64,14.56,121.94,84.95,110.06,131.25,120.98,86.02,111.3
2016-11-30,220.38,131.61,117.5,45.91,49.89,35.5,56.79,39.92,74.85,14.92,111.75,84.5,105.26,120.24,116.84,85.65,108.24
2016-12-30,223.53,134.85,118.48,47.94,48.86,35.01,57.73,40.27,76.94,15.67,109.61,84.45,104.82,119.13,117.18,86.55,108.06
